measure,location,sex,age,cause,metric,year,val,upper,lower
2,4743,1,27,669,3,2019,504.69947811370264,717.7907657262145,341.79667917867357
2,4743,2,27,669,3,2019,463.58965442213525,649.7106252015612,314.37955136354924
2,4743,1,27,542,3,2019,1194.7825396824123,1855.9015119073006,733.2809291210256
2,4743,2,27,542,3,2019,1618.644444440542,2780.472484205002,825.8810464988203
2,4743,1,27,640,3,2019,1065.3274073906484,1334.1945174566329,848.3153948876519
2,4743,2,27,640,3,2019,2038.2270307054011,2678.190464573198,1518.365947025749
2,4743,1,27,955,3,2019,55.342574410879756,62.63696495686652,49.58803928430797
2,4743,2,27,955,3,2019,33.40073085154939,42.704039920457234,26.93914622673255
2,4743,1,27,956,3,2019,451.3412358925977,518.0463914013305,398.88750679663696
2,4743,2,27,956,3,2019,299.8196037302695,359.42777958595104,252.92129222692915
